ID	trip_duration	time_of_day	Size	Fragile	Compensation	choice
1	30.9515104813239	2	0.161859057987116	0	7.24089948360662	1
2	23.5301980842316	3	0.250437041458096	0	8.80525866463092	1
3	38.6127187339631	1	0.331217775124703	0	10.1012627956007	0
4	18.7143325761016	2	0.426645948954807	0	11.2688511815205	0
5	34.5594548153905	3	0.0557878678633907	1	12.3809385854972	0
6	27.3935419597529	2	0.181436597777616	1	13.4895310257509	1
7	44.0090547563561	3	0.266544936108282	0	14.6454558832828	1
8	15.3738331447039	4	0.348214111135514	0	15.9168775948388	1
9	32.7284443167245	1	0.45138865670553	0	17.4285990371877	0
10	25.5275886665753	2	0.0893850635577201	0	19.5175873710191	0
11	41.0327817564016	3	0.199784798597705	0	5.25978526154933	0
12	21.3124155407876	1	0.282532664276452	1	7.40094805686896	0
13	36.496232627896	2	0.365922825849856	1	8.93121398795171	1
14	29.1865749019065	3	0.480428182037128	0	10.2113496135855	1
15	48.2560460159624	2	0.11683082243612	0	11.3713859235797	0
16	13.1309586169495	3	0.217241330031097	0	12.4811393311509	1
17	31.8359716860408	4	0.298542873961909	0	13.5918270155942	1
18	24.5498777142413	1	0.38461895699892	0	14.7549810870846	1
19	39.7736629121334	2	0.516915997403044	1	16.0416869691306	1
20	20.0759357534906	3	0.140570617412095	1	17.5860166039116	1
21	35.5107335901241	2	0.23405865032672	0	19.7677018864707	1
22	28.2961760347483	3	0.31471963378755	0	5.50339498482807	0
23	45.8833351436784	4	0.404677647218973	0	7.55652763980875	0
24	17.1764055278797	2	0.569608024114296	0	9.0552143207455	0
25	33.6342943588807	3	0.0207283697982048	0	10.3204782321603	1
26	26.4728788581497	4	0.165893274210435	1	11.4735163208435	0
27	42.4256537295994	1	0.253675261518204	1	12.5813476054249	1
28	22.45640516794	2	0.334570988813093	0	13.6945448344893	1
29	37.5259531739991	3	0.431336556166859	0	14.8654915650772	0
30	30.0700194376782	1	0.063196788516177	0	16.1685073102394	0
31	51.6991685930669	2	0.185192186840553	0	17.7480733376177	1
32	11.7289236554223	3	0.26974747905382	0	20.0351714344467	1
33	31.3930598070833	2	0.351691126526482	1	5.73318277270519	1
34	24.0459696032369	3	0.45678557585593	1	7.7080076446961	1
35	39.1826202756858	4	0.0952610658502728	0	9.17738504960643	0
